Date,AAPL,ABT,AIG,AMAT,ARNC,BAC,BSX,C,CMCSA,CSCO,DAL,EBAY,F,FB,FCX,FITB,FOXA,FTR,GE,GILD,GLW,GM,HAL,HBAN,HPQ,INTC,JPM,KEY,KMI,KO,MRK,MRO,MSFT,MU,NFLX,NVDA,ORCL,PFE,QCOM,RF,SBUX,T,V,VZ,WFC,XOM,XRX,YAHOY
11/28/2016,107.7181396,37.00860214,60.10274124,30.9639225,19.66951942,19.55092239,20.75,53.11655426,32.59870148,27.81977272,46.3359375,28.56999969,10.51117706,120.4100037,15.56424618,24.03766441,27.70491219,50.1570282,28.74050522,69.75406647,23.13374138,30.75998116,46.73908997,11.39009094,14.17999363,33.47397232,73.82951355,16.1808567,19.81347656,38.71413803,57.73566437,15.15786266,58.27736282,19.98999977,116.9300003,93.48392487,38.88230515,29.04577255,61.44008255,12.42530918,54.97242355,34.97212982,78.00440979,46.06237793,48.29618454,79.10612488,23.47332382,7.311951637
11/29/2016,107.6119461,36.99904633,60.07426071,31.27511597,19.20096588,19.54129219,20.77000046,53.16443634,33.47201157,27.73609161,46.43148804,28.51000023,10.51117706,120.8700027,14.76532173,24.04713631,27.86149025,49.21826172,28.55656242,70.06287384,23.10506058,31.22973824,45.77174377,11.40867233,14.24581432,33.28544617,74.39511871,16.19037437,19.7857399,38.48035812,58.10000992,14.58237076,58.73888397,19.42000008,117.5100021,92.62963867,39.12350845,29.39572144,61.13790131,12.52030373,55.52606583,34.91906357,78.07344818,45.91820908,48.55836105,78.58465576,23.37448883,7.233328819
11/30/2016,106.7043839,36.36854172,60.1217308,31.31401634,18.82026482,20.41613388,20.45999908,53.99752426,33.17136765,27.72679329,46.03970718,27.80999947,10.54645157,118.4199982,15.14012623,24.6438179,27.5091877,48.95004654,28.28985596,68.96799469,22.97123146,31.19360542,50.84790802,11.57590199,14.48089504,32.71042633,75.57341766,16.47592163,20.52539635,37.73226166,57.16577911,17.61589241,57.94083023,19.53000069,117,91.58661652,38.77616882,29.59832001,62.38319397,12.86228275,55.33515549,34.16725922,76.26833344,44.96308517,49.5508728,79.86543274,23.10269165,7.174361706
12/1/2016,105.7099457,35.91954803,60.86221313,29.27179527,19.03502083,20.78346825,20.09000015,54.84018707,33.33839417,27.38277054,45.64792252,27.38999939,10.96090221,115.0999985,14.82450008,25.04160881,27.59726334,47.07251358,28.86925888,68.16320801,22.49326324,32.91001892,50.99158096,12.10545731,14.16118622,31.82431221,77.10054779,16.99941826,19.86894989,37.56393433,56.76404953,17.45007324,56.92162323,18.47999954,117.2200012,87.05696106,37.3385849,28.9720974,58.74806976,13.1472683,55.85060501,34.38838196,74.40403748,44.93604279,50.88046646,79.81054688,23.34977913,7.07608223
12/2/2016,106.1057892,36.20614624,60.52045441,30.57493019,19.2204895,20.52246284,20.35000038,53.64321899,32.82300186,27.19680595,46.1639328,28.42000008,10.79335785,115.4000015,15.20916843,24.52069092,26.81436157,46.67018127,28.82328033,67.77019501,22.5123806,31.9885807,51.88230515,12.02184296,14.21760559,32.20138168,76.92144775,17.03749084,19.74875832,37.74160767,57.10972214,17.75244904,56.96969986,18.79000092,120.8099976,87.8615799,37.14562225,29.12865257,60.28635406,13.05227375,54.60969925,34.14957047,74.69008636,44.8819809,50.16885376,79.62757111,23.47332382,7.243156433
12/5/2016,105.3430634,36.71245193,60.96664429,30.66245079,19.77689934,21.11213684,20.70999908,54.84976196,32.77528381,27.45715523,45.6957016,28.35000038,10.96972084,117.4300003,15.65301609,24.71011543,26.97094154,45.86552048,28.61174965,67.71403503,22.58885574,31.90638733,51.79582214,12.10545731,14.62194347,32.41819382,78.48627472,16.84712982,19.84121323,37.98474503,56.28759384,17.93777847,57.90237808,18.61000061,119.1600037,91.26875305,37.59908676,29.09181786,60.76250458,13.31825924,54.88650894,34.16725922,76.25846863,44.82791519,50.88983154,80.03009796,23.02856636,7.19401741
12/6/2016,106.1540604,36.70289612,61.25287247,30.74024963,19.83546448,21.42147064,20.80999947,55.46261215,32.78482437,27.27119064,47.23417664,28.20999908,11.07553768,117.3099976,15.6727438,24.92794991,26.91222382,47.34073257,28.66692734,67.8169632,22.93299484,32.02509689,51.91113281,12.28197575,14.66895771,32.72927475,78.89162445,17.08508301,19.5268631,37.93798828,56.31562424,17.89876366,57.64276123,19.05999947,124.5699997,92.76870728,38.08150101,29.06419182,61.76055527,13.52724743,54.82924271,34.80407715,76.06119537,45.37756729,52.01343918,80.10327911,22.97914886,7.19401741
12/7/2016,107.1967697,36.76021576,61.93981934,31.61548424,20.3821106,21.81780624,20.61000061,56.55424118,33.08547592,27.8476696,48.82999039,28.90999985,11.51644325,117.9499969,15.21903229,25.14578629,27.5091877,48.27949905,29.06239891,68.10707092,23.49699974,33.1483078,51.44986725,12.2726841,15.18613148,33.46455002,79.24983978,17.37062836,19.68404007,38.61127472,56.11009598,17.9670372,59.00811768,20.44000053,125.3899994,94.43753815,38.9016037,28.72345352,62.57548141,13.7992239,56.08924484,35.77700424,78.23126221,46.29665375,53.63330078,80.56985474,23.42391205,7.262812138
12/8/2016,108.2491455,36.95127869,62.79850006,31.80998039,20.41139793,22.18514252,20.61000061,57.59800339,33.03775406,27.8476696,49.0688858,29.42000008,11.48998833,118.9100037,15.38670731,25.55304527,28.02785683,49.62059402,28.99802208,67.39587402,23.78378105,33.25789261,52.30512619,12.50494671,15.19553566,33.6530838,80.23961639,17.48484612,19.60082817,38.32138443,56.16614151,17.9280262,58.66196823,20.65999985,123.2399979,92.85811615,38.93054581,28.49322319,62.76777267,13.88511086,55.98425293,35.74162292,78.20166779,46.07138824,53.64265823,80.79856873,23.52274132,7.606788158
12/9/2016,110.0159607,37.44803619,62.80804443,31.45989227,21.28017616,22.32047653,20.80999947,57.49265671,33.14274216,27.94994736,49.4797821,29.96999931,11.61344242,119.6800003,15.53465748,25.46780396,27.60704803,49.21826172,29.22794342,68.03220367,23.47788048,34.39022827,52.08411026,12.55139828,14.83821392,33.7096405,80.58840179,17.57050705,19.49912262,39.27521515,57.20314407,17.80122185,59.58501816,20.5,122.8799973,91.20915222,39.09456635,29.19312286,62.7402916,13.93282509,56.07969666,35.71509171,78.06357574,46.39577484,53.50220871,81.42064667,23.37448883,7.68541193
